Complexity,Loss,Equation
1,24.780869,"3.4374366"
3,3.0617266,"x0 * x0"
5,3.0333724,"(x0 * x0) + -0.16839632"
6,1.2034591,"(x0 * x0) + cos(x3)"
8,0.24125384,"(x0 * x0) + (cos(x3) * 2.4043152)"
10,2.0569782e-13,"(x0 * x0) + ((cos(x3) * 2.5382) + -0.49999997)"
12,1.4984639e-13,"(((x0 * x0) + -0.69193363) + (cos(x3) * 2.5382)) + 0.19193365"
15,1.10460117e-13,"((cos(x3) + -0.39012823) + ((cos(x3) * 1.5382) + (x0 * x0))) + -0.10987179"
